dataset,source_file,object_id,quarter,time,flux,flux_err,quality,flux_norm,is_anomaly
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.5391465105713,501466.84375,20.57497215270996,0.0,-3.2378250656504366,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.5391465105713,501466.84375,20.57497215270996,0.0,-3.2378250656504366,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.55958073025249,501412.125,20.59782600402832,0.0,-3.2415233919196713,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.55958073025249,501412.125,20.59782600402832,0.0,-3.2415233919196713,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.58001484981651,501402.8125,20.634075164794922,0.0,-3.242152804385823,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.58001484981651,501402.8125,20.634075164794922,0.0,-3.242152804385823,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.60044916937477,501359.71875,20.607728958129883,0.0,-3.245065421133553,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.60044916937477,501359.71875,20.607728958129883,0.0,-3.245065421133553,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.62088338893955,501447.59375,20.585588455200195,0.0,-3.2391261330301333,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.62088338893955,501447.59375,20.585588455200195,0.0,-3.2391261330301333,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.64131750838715,501424.21875,20.62250328063965,0.0,-3.240706000562622,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.64131750838715,501424.21875,20.62250328063965,0.0,-3.240706000562622,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.66175172782823,501346.125,20.596803665161133,0.0,-3.245984194364345,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.66175172782823,501346.125,20.596803665161133,0.0,-3.245984194364345,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.68218604727736,501369.28125,20.572751998901367,0.0,-3.244419111688444,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.68218604727736,501369.28125,20.572751998901367,0.0,-3.244419111688444,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.70262016672496,501402.125,20.61715316772461,0.0,-3.242199271077955,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.70262016672496,501402.125,20.61715316772461,0.0,-3.242199271077955,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.72305438616604,501478.59375,20.64872169494629,0.0,-3.237030907639453,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.72305438616604,501478.59375,20.64872169494629,0.0,-3.237030907639453,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.74348870549875,501461.625,20.63766860961914,0.0,-3.238177790086166,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.74348870549875,501461.625,20.63766860961914,0.0,-3.238177790086166,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.76392282482993,501418.90625,20.651046752929688,0.0,-3.24106506136546,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.76392282482993,501418.90625,20.651046752929688,0.0,-3.24106506136546,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.7843570441546,501499.6875,20.6339168548584,0.0,-3.235605225039948,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.7843570441546,501499.6875,20.6339168548584,0.0,-3.235605225039948,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.80479126348655,501487.5625,20.63558006286621,0.0,-3.236424728519367,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.80479126348655,501487.5625,20.63558006286621,0.0,-3.236424728519367,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.82522548270208,501472.96875,20.593168258666992,0.0,-3.237411089665988,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.82522548270208,501472.96875,20.593168258666992,0.0,-3.237411089665988,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.84565970191034,501500.625,20.65498924255371,0.0,-3.235541861368859,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.84565970191034,501500.625,20.65498924255371,0.0,-3.235541861368859,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.86609392112587,501464.25,20.662973403930664,0.0,-3.2380003718071166,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.86609392112587,501464.25,20.662973403930664,0.0,-3.2380003718071166,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.88652824022574,501452.46875,20.66316795349121,0.0,-3.23879664194047,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.88652824022574,501452.46875,20.66316795349121,0.0,-3.23879664194047,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.90696235943324,501479.4375,20.64138412475586,8192.0,-3.236973880335473,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.90696235943324,501479.4375,20.64138412475586,8192.0,-3.236973880335473,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.92739657853235,501485.875,20.643707275390625,0.0,-3.2365387831273273,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.92739657853235,501485.875,20.643707275390625,0.0,-3.2365387831273273,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.94783089762495,501494.3125,20.63245964050293,0.0,-3.2359685100875253,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.94783089762495,501494.3125,20.63245964050293,0.0,-3.2359685100875253,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.96826501660689,501487.15625,20.65629768371582,0.0,-3.2364521861101725,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.96826501660689,501487.15625,20.65629768371582,0.0,-3.2364521861101725,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.98869923570601,501508.59375,20.63996696472168,8192.0,-3.235003270164601,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,120.98869923570601,501508.59375,20.63996696472168,8192.0,-3.235003270164601,True
small,kplr011904151-2009131105131_llc.fits,11904151,-1,121.00913335457153,501470.78125,20.616498947143555,0.0,-3.2375589382318624,True
