dataset,source_file,object_id,quarter,time,flux,flux_err,quality,flux_norm,is_anomaly
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.53900742435508,312308.65625,15.100381851196289,0.0,1.0868564364547337,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.53900742435508,312308.65625,15.100381851196289,0.0,1.0868564364547337,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.55944174409524,312275.65625,15.156554222106934,0.0,1.0849142018023277,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.55944174409524,312275.65625,15.156554222106934,0.0,1.0849142018023277,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.57987596383464,312310.1875,15.168389320373535,0.0,1.086946559085385,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.57987596383464,312310.1875,15.168389320373535,0.0,1.086946559085385,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.60031038356829,312229.09375,15.071846008300781,128.0,1.0821737381355803,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.60031038356829,312229.09375,15.071846008300781,128.0,1.0821737381355803,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.62074470325024,312284.75,15.164815902709961,0.0,1.0854494198741553,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.62074470325024,312284.75,15.164815902709961,0.0,1.0854494198741553,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.64117892293143,312262.90625,15.09457778930664,0.0,1.0841637929593524,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.64117892293143,312262.90625,15.09457778930664,0.0,1.0841637929593524,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.66161324260611,312257.125,15.113265037536621,128.0,1.0838235340477094,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.66161324260611,312257.125,15.113265037536621,128.0,1.0838235340477094,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.68204766223062,312275.75,15.103154182434082,0.0,1.0849197195144082,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.68204766223062,312275.75,15.103154182434082,0.0,1.0849197195144082,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.7024818818536,312289.71875,15.1038236618042,0.0,1.0857418586144325,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.7024818818536,312289.71875,15.1038236618042,0.0,1.0857418586144325,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.72291620152828,312250.8125,15.097434043884277,0.0,1.0834520081009422,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.72291620152828,312250.8125,15.097434043884277,0.0,1.0834520081009422,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.74335062109458,312292.375,15.128643035888672,0.0,1.0858981937900523,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.74335062109458,312292.375,15.128643035888672,0.0,1.0858981937900523,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.76378484071756,312231.59375,15.03484058380127,128.0,1.0823208771243988,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.76378484071756,312231.59375,15.03484058380127,128.0,1.0823208771243988,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.78421916027582,312283.0625,15.135207176208496,0.0,1.0853501010567028,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.78421916027582,312283.0625,15.135207176208496,0.0,1.0853501010567028,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.80465347984136,312271.71875,15.148131370544434,0.0,1.0846824578949381,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.80465347984136,312271.71875,15.148131370544434,0.0,1.0846824578949381,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.8250877993487,312264.25,15.130463600158691,128.0,1.0842428801658426,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.8250877993487,312264.25,15.130463600158691,128.0,1.0842428801658426,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.84552211890696,312282.4375,15.18464183807373,0.0,1.0853133163094981,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.84552211890696,312282.4375,15.18464183807373,0.0,1.0853133163094981,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.86595643841429,312285.4375,15.124307632446289,0.0,1.0854898830960806,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.86595643841429,312285.4375,15.124307632446289,0.0,1.0854898830960806,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.88639085792238,312282.90625,15.192943572998047,8192.0,1.0853409048699016,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.88639085792238,312282.90625,15.192943572998047,8192.0,1.0853409048699016,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.90682507742167,312289.09375,15.187840461730957,128.0,1.0857050738672278,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.90682507742167,312289.09375,15.187840461730957,128.0,1.0857050738672278,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.9272593968708,312278.78125,15.155729293823242,0.0,1.085098125538351,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.9272593968708,312278.78125,15.155729293823242,0.0,1.085098125538351,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.9476938163134,312276.09375,15.203277587890625,0.0,1.0849399511253708,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.9476938163134,312276.09375,15.203277587890625,0.0,1.0849399511253708,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.96812803576177,312278.5625,15.212068557739258,0.0,1.0850852508768292,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.96812803576177,312278.5625,15.212068557739258,0.0,1.0850852508768292,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.98856235515268,312296.9375,15.207099914550781,0.0,1.0861667224446463,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,120.98856235515268,312296.9375,15.207099914550781,0.0,1.0861667224446463,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.00899657454283,312275.25,15.198810577392578,0.0,1.0848902917166445,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.00899657454283,312275.25,15.198810577392578,0.0,1.0848902917166445,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.02943099392724,312291.46875,15.150483131408691,0.0,1.0858448559066056,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.02943099392724,312291.46875,15.150483131408691,0.0,1.0858448559066056,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.04986531331815,312316.6875,15.255346298217773,0.0,1.0873291204563136,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.04986531331815,312316.6875,15.255346298217773,0.0,1.0873291204563136,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.07029963265086,312314.25,15.231529235839844,0.0,1.0871856599422154,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.07029963265086,312314.25,15.231529235839844,0.0,1.0871856599422154,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.09073395197629,312295.84375,15.237344741821289,0.0,1.086102349137038,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.09073395197629,312295.84375,15.237344741821289,0.0,1.086102349137038,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.111168271309,312296.03125,15.238499641418457,0.0,1.0861133845611997,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.111168271309,312296.03125,15.238499641418457,0.0,1.0861133845611997,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.1316025905835,312287.15625,15.267126083374023,0.0,1.0855910411508933,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.1316025905835,312287.15625,15.267126083374023,0.0,1.0855910411508933,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.15203680990817,312251.71875,15.216078758239746,8192.0,1.083505345984389,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.15203680990817,312251.71875,15.216078758239746,8192.0,1.083505345984389,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.17247122912522,312306.4375,15.285271644592285,0.0,1.086725850602157,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.17247122912522,312306.4375,15.285271644592285,0.0,1.086725850602157,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.19290554839972,312294.25,15.251374244689941,128.0,1.0860085480316664,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.19290554839972,312294.25,15.251374244689941,128.0,1.0860085480316664,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.21333976760798,312320.96875,15.289105415344238,0.0,1.0875810959746657,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.21333976760798,312320.96875,15.289105415344238,0.0,1.0875810959746657,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.23377418682503,312283.125,15.25661563873291,0.0,1.0853537795314232,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.23377418682503,312283.125,15.25661563873291,0.0,1.0853537795314232,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.25420850604132,312286.21875,15.261889457702637,0.0,1.0855358640300863,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.25420850604132,312286.21875,15.261889457702637,0.0,1.0855358640300863,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.27464272519137,312313.125,15.269918441772461,0.0,1.087119447397247,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.27464272519137,312313.125,15.269918441772461,0.0,1.087119447397247,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.29507704440766,312323.84375,15.2778959274292,0.0,1.087750305811807,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.29507704440766,312323.84375,15.2778959274292,0.0,1.087750305811807,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.3155114635083,312314.5625,15.270574569702148,0.0,1.0872040523158177,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.3155114635083,312314.5625,15.270574569702148,0.0,1.0872040523158177,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.33594578265911,312326.9375,15.283279418945312,0.0,1.08793239031047,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.33594578265911,312326.9375,15.283279418945312,0.0,1.08793239031047,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.35638000175823,312298.78125,15.275668144226074,0.0,1.0862752374489,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.35638000175823,312298.78125,15.275668144226074,0.0,1.0862752374489,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.37681442085886,312303.71875,15.279184341430664,0.0,1.086565836951817,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.37681442085886,312303.71875,15.279184341430664,0.0,1.086565836951817,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.39724873989326,312327.21875,15.27031421661377,0.0,1.0879489434467122,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.39724873989326,312327.21875,15.27031421661377,0.0,1.0879489434467122,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.41768295899237,312280.1875,15.286323547363281,0.0,1.0851808912195613,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.41768295899237,312280.1875,15.286323547363281,0.0,1.0851808912195613,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.43811727797583,312329.40625,15.302999496459961,0.0,1.0880776900619284,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.43811727797583,312329.40625,15.302999496459961,0.0,1.0880776900619284,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.45855169701099,312310.03125,15.296226501464844,0.0,1.086937362898584,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.45855169701099,312310.03125,15.296226501464844,0.0,1.086937362898584,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.4789859160519,312281.3125,15.292200088500977,0.0,1.0852471037645297,False
large,kplr010593626-2009131105131_llc.fits,10593626,-1,121.4789859160519,312281.3125,15.292200088500977,0.0,1.0852471037645297,False
