dataset,processing_method,visualization_method,pair,processing_time_sec,processing_memory_peak_mb,visualization_time_sec,visualization_memory_peak_mb,total_time_sec,status,error,input_file,output_file,rows_input,rows_after_cleaning,rows_output,objects,quarters,anomaly_rows,visualization_file,visualization_metadata_file,visualization_type,points_plotted,anomaly_points_plotted,rows_before_downsample
medium,spark,plotly,spark + plotly,1.581759,875.707,0.034414,873.047,1.616173,success,,C:\Kelper\data\samples\kepler_medium.parquet,C:\Kelper\results\processed\medium_spark_processed.parquet,103946,91028,20733,1,15,338,C:\Kelper\results\plots\medium_spark_plotly.html,,interactive_html,10000,156,
medium,spark,dash,spark + dash,1.581759,875.707,0.024978,876.629,1.606737,success,,C:\Kelper\data\samples\kepler_medium.parquet,C:\Kelper\results\processed\medium_spark_processed.parquet,103946,91028,20733,1,15,338,C:\Kelper\results\dash_data\medium_spark_dash_data.parquet,C:\Kelper\results\dash_data\medium_spark_dash_metadata.json,interactive_web_dashboard,20733,338,20733.0
large,pandas,matplotlib,pandas + matplotlib,0.23707,334.57,0.101292,302.031,0.338362,success,,C:\Kelper\data\samples\kepler_large.parquet,C:\Kelper\results\processed\large_pandas_processed.parquet,364064,308416,70858,3,18,1374,C:\Kelper\results\plots\large_pandas_matplotlib.png,,static_png,5000,71,
large,pandas,plotly,pandas + plotly,0.23707,334.57,0.029162,303.02,0.266232,success,,C:\Kelper\data\samples\kepler_large.parquet,C:\Kelper\results\processed\large_pandas_processed.parquet,364064,308416,70858,3,18,1374,C:\Kelper\results\plots\large_pandas_plotly.html,,interactive_html,10000,134,
large,pandas,dash,pandas + dash,0.23707,334.57,0.051751,303.766,0.288821,success,,C:\Kelper\data\samples\kepler_large.parquet,C:\Kelper\results\processed\large_pandas_processed.parquet,364064,308416,70858,3,18,1374,C:\Kelper\results\dash_data\large_pandas_dash_data.parquet,C:\Kelper\results\dash_data\large_pandas_dash_metadata.json,interactive_web_dashboard,49998,997,70858.0
large,dask,matplotlib,dask + matplotlib,0.803931,386.367,0.101362,368.516,0.905293,success,,C:\Kelper\data\samples\kepler_large.parquet,C:\Kelper\results\processed\large_dask_processed.parquet,364064,308416,70858,3,18,1250,C:\Kelper\results\plots\large_dask_matplotlib.png,,static_png,5000,138,
large,dask,plotly,dask + plotly,0.803931,386.367,0.030344,368.969,0.834275,success,,C:\Kelper\data\samples\kepler_large.parquet,C:\Kelper\results\processed\large_dask_processed.parquet,364064,308416,70858,3,18,1250,C:\Kelper\results\plots\large_dask_plotly.html,,interactive_html,10000,261,
large,dask,dash,dask + dash,0.803931,386.367,0.049787,371.09,0.853718,success,,C:\Kelper\data\samples\kepler_large.parquet,C:\Kelper\results\processed\large_dask_processed.parquet,364064,308416,70858,3,18,1250,C:\Kelper\results\dash_data\large_dask_dash_data.parquet,C:\Kelper\results\dash_data\large_dask_dash_metadata.json,interactive_web_dashboard,49998,876,70858.0
large,spark,matplotlib,spark + matplotlib,2.087229,969.531,0.11535,906.957,2.202579,success,,C:\Kelper\data\samples\kepler_large.parquet,C:\Kelper\results\processed\large_spark_processed.parquet,364064,308416,70858,3,18,1250,C:\Kelper\results\plots\large_spark_matplotlib.png,,static_png,5000,138,
large,spark,plotly,spark + plotly,2.087229,969.531,0.038566,907.609,2.125795,success,,C:\Kelper\data\samples\kepler_large.parquet,C:\Kelper\results\processed\large_spark_processed.parquet,364064,308416,70858,3,18,1250,C:\Kelper\results\plots\large_spark_plotly.html,,interactive_html,10000,261,
large,spark,dash,spark + dash,2.087229,969.531,0.055149,919.09,2.142378,success,,C:\Kelper\data\samples\kepler_large.parquet,C:\Kelper\results\processed\large_spark_processed.parquet,364064,308416,70858,3,18,1250,C:\Kelper\results\dash_data\large_spark_dash_data.parquet,C:\Kelper\results\dash_data\large_spark_dash_metadata.json,interactive_web_dashboard,49998,876,70858.0
